### CROSS VALIDATION GLOBAL RESULTS ###

DATE                | ITERATIONS | RECORDS | TP    | TN    | FP    | FN    | ACCU. | SPEC. | SENS. | PREC. | GMEAN | AUC   | F1    | MCC    |
2015-01-10 18:28:25 | 10         | 1640    | 39.900 | 41.800 | 41.700 | 40.600 | 0.498 | 0.499 | 0.496 | 0.000 | 0.496 | 0.748 | 0.491 | -0.005 | 
2015-01-10 18:30:53 | 10         | 1640    | 38.300 | 43.300 | 42.600 | 39.800 | 0.498 | 0.504 | 0.491 | 0.000 | 0.496 | 0.745 | 0.481 | -0.006 | 
2015-01-10 18:31:13 | 10         | 1640    | 43.400 | 39.500 | 40.100 | 41.000 | 0.505 | 0.495 | 0.515 | 0.000 | 0.503 | 0.757 | 0.515 | +0.010 | 
2015-01-10 18:31:31 | 10         | 1640    | 38.100 | 41.000 | 41.700 | 43.200 | 0.482 | 0.497 | 0.467 | 0.000 | 0.480 | 0.733 | 0.470 | -0.037 | 
2015-01-10 18:31:59 | 10         | 1640    | 45.300 | 37.700 | 38.500 | 42.500 | 0.506 | 0.497 | 0.514 | 0.000 | 0.503 | 0.757 | 0.526 | +0.010 | 
2015-01-10 18:32:16 | 10         | 1640    | 41.900 | 41.400 | 40.400 | 40.300 | 0.508 | 0.507 | 0.511 | 0.000 | 0.507 | 0.755 | 0.508 | +0.017 | 
2015-01-10 18:32:54 | 10         | 1640    | 39.300 | 39.400 | 40.300 | 45.000 | 0.480 | 0.492 | 0.466 | 0.000 | 0.476 | 0.733 | 0.477 | -0.042 | 
2015-01-10 18:36:45 | 10         | 1640    | 40.400 | 42.100 | 42.000 | 39.500 | 0.503 | 0.501 | 0.506 | 0.000 | 0.502 | 0.753 | 0.496 | +0.007 | 
2015-01-10 18:37:37 | 10         | 1640    | 43.600 | 39.600 | 40.000 | 40.800 | 0.507 | 0.498 | 0.517 | 0.000 | 0.506 | 0.759 | 0.518 | +0.014 | 
2015-01-10 18:42:50 | 10         | 1640    | 39.900 | 40.100 | 40.200 | 43.800 | 0.488 | 0.501 | 0.478 | 0.000 | 0.487 | 0.739 | 0.487 | -0.021 | 
2015-01-10 18:43:20 | 10         | 1640    | 40.200 | 43.300 | 39.800 | 40.700 | 0.509 | 0.521 | 0.497 | 0.000 | 0.507 | 0.749 | 0.498 | +0.018 | 
2015-01-10 18:44:09 | 10         | 1640    | 44.100 | 40.800 | 41.000 | 38.100 | 0.518 | 0.499 | 0.536 | 0.000 | 0.516 | 0.768 | 0.526 | +0.035 | 
2015-01-10 18:45:04 | 10         | 1640    | 37.500 | 40.700 | 45.700 | 40.100 | 0.477 | 0.470 | 0.482 | 0.000 | 0.475 | 0.741 | 0.465 | -0.047 | 
2015-01-10 18:46:42 | 10         | 1640    | 39.000 | 42.500 | 41.000 | 41.500 | 0.497 | 0.508 | 0.484 | 0.000 | 0.494 | 0.742 | 0.484 | -0.009 | 
2015-01-10 18:47:10 | 10         | 1640    | 43.300 | 40.500 | 40.000 | 40.200 | 0.511 | 0.501 | 0.520 | 0.000 | 0.510 | 0.760 | 0.519 | +0.021 | 
2015-01-10 18:47:26 | 10         | 1640    | 42.600 | 40.900 | 38.800 | 41.700 | 0.509 | 0.512 | 0.504 | 0.000 | 0.507 | 0.752 | 0.513 | +0.017 | 
2015-01-10 18:48:00 | 10         | 1640    | 43.300 | 39.400 | 41.600 | 39.700 | 0.504 | 0.485 | 0.520 | 0.000 | 0.499 | 0.760 | 0.512 | +0.005 | 
2015-01-10 18:48:15 | 10         | 1640    | 39.200 | 42.800 | 41.100 | 40.900 | 0.500 | 0.509 | 0.490 | 0.000 | 0.499 | 0.745 | 0.488 | -0.001 | 
2015-01-10 18:48:43 | 10         | 1640    | 38.800 | 40.100 | 42.800 | 42.300 | 0.481 | 0.481 | 0.478 | 0.000 | 0.479 | 0.739 | 0.475 | -0.041 | 
2015-01-10 18:49:33 | 10         | 1640    | 41.100 | 40.800 | 41.000 | 41.100 | 0.499 | 0.500 | 0.500 | 0.000 | 0.499 | 0.750 | 0.500 | +0.000 | 
2015-01-10 18:50:37 | 10         | 1640    | 40.400 | 40.900 | 43.000 | 39.700 | 0.496 | 0.487 | 0.503 | 0.000 | 0.494 | 0.752 | 0.493 | -0.009 | 
2015-01-10 18:51:41 | 10         | 1640    | 38.300 | 43.300 | 42.000 | 40.400 | 0.498 | 0.508 | 0.487 | 0.000 | 0.496 | 0.743 | 0.482 | -0.005 | 
2015-01-10 18:53:54 | 10         | 1640    | 42.900 | 39.400 | 40.900 | 40.800 | 0.502 | 0.490 | 0.513 | 0.000 | 0.500 | 0.757 | 0.511 | +0.004 | 
2015-01-10 18:55:51 | 10         | 1640    | 40.700 | 42.300 | 39.200 | 41.800 | 0.506 | 0.519 | 0.493 | 0.000 | 0.504 | 0.747 | 0.499 | +0.013 | 
2015-01-10 18:57:20 | 10         | 1640    | 42.700 | 40.700 | 40.200 | 40.400 | 0.509 | 0.502 | 0.514 | 0.000 | 0.507 | 0.757 | 0.514 | +0.016 | 
2015-01-10 18:58:03 | 10         | 1640    | 39.600 | 37.000 | 42.700 | 44.700 | 0.467 | 0.465 | 0.470 | 0.000 | 0.467 | 0.735 | 0.474 | -0.065 | 
2015-01-10 18:58:45 | 10         | 1640    | 40.000 | 43.900 | 40.800 | 39.300 | 0.512 | 0.519 | 0.505 | 0.000 | 0.511 | 0.753 | 0.499 | +0.025 | 
